2020%20Super%20Baseball%20%28U%29.zip|2020 Super Baseball (U)|1.1M
3%20Ninjas%20Kick%20Back%20%28U%29.zip|3 Ninjas Kick Back (U)|789.8K
7th%20Saga%2C%20The%20%28U%29%20%5B%21%5D.zip|7th Saga, The (U) [!]|517.1K
A%20Bug%27s%20Life.zip|A Bug's Life|566.1K
A.S.P.%20Air%20Strike%20Patrol%20%28U%29.zip|A.S.P. Air Strike Patrol (U)|1.2M
AAAHH%21%21%21%20Real%20Monsters%20%28U%29%20%5B%21%5D.zip|AAAHH!!! Real Monsters (U) [!]|520.7K
ABC%20Monday%20Night%20Football%20%28U%29.zip|ABC Monday Night Football (U)|708.5K
ACME%20Animation%20Factory%20%28U%29.zip|ACME Animation Factory (U)|576.1K
AD%26D%20-%20Eye%20of%20the%20Beholder%20%28U%29%20%5B%21%5D.zip|AD&D - Eye of the Beholder (U) [!]|789.2K
Accelebrid.zip|Accelebrid|685.0K
Ace%20o%20Nerae%21.zip|Ace o Nerae!|669.9K
ActRaiser%20%28U%29%20%5B%21%5D.zip|ActRaiser (U) [!]|529.2K
ActRaiser%20%28USA%29%20%28Arcade%29.zip|ActRaiser (USA) (Arcade)|1.1M
ActRaiser%202%20%28U%29%20%5B%21%5D.zip|ActRaiser 2 (U) [!]|1.3M
Addams%20Family%20Values%20%28U%29%20%5B%21%5D.zip|Addams Family Values (U) [!]|758.5K
Addams%20Family%2C%20The%20%28U%29%20%5B%21%5D.zip|Addams Family, The (U) [!]|807.0K
Addams%20Family%2C%20The%20-%20Pugsley%27s%20Scavenger%20Hunt%20%28U%29.zip|Addams Family, The - Pugsley's Scavenger Hunt (U)|1.4M
Adventures%20of%20Batman%20%26%20Robin%2C%20The%20%28U%29.zip|Adventures of Batman & Robin, The (U)|795.8K
Adventures%20of%20Dr.%20Franken%2C%20The%20%28U%29.zip|Adventures of Dr. Franken, The (U)|812.6K
Adventures%20of%20Kid%20Kleets%2C%20The%20%28U%29%20%5B%21%5D.zip|Adventures of Kid Kleets, The (U) [!]|615.0K
Adventures%20of%20Rocky%20and%20Bullwinkle%20and%20Friends%2C%20The%20%28U%29.zip|Adventures of Rocky and Bullwinkle and Friends, The (U)|563.2K
Aero%20Fighters%20%28U%29.zip|Aero Fighters (U)|706.7K
Aero%20the%20Acro-Bat%20%28U%29%20%5B%21%5D.zip|Aero the Acro-Bat (U) [!]|1.3M
Aero%20the%20Acro-Bat%202%20%28U%29.zip|Aero the Acro-Bat 2 (U)|457.6K
Aerobiz%20%28U%29%20%5B%21%5D.zip|Aerobiz (U) [!]|593.0K
Aerobiz%20Supersonic%20%28U%29.zip|Aerobiz Supersonic (U)|458.2K
Air%20Cavalry%20%28U%29.zip|Air Cavalry (U)|574.6K
Al%20Unser%20Jr%27s%20Road%20to%20the%20Top%20%28U%29.zip|Al Unser Jr's Road to the Top (U)|809.1K
Aladdin%20%28U%29%20%5B%21%5D.zip|Aladdin (U) [!]|680.9K
