005|005|28.7K
1941|1941 - Counter Attack (World)|1.4M
1941j|1941 - Counter Attack (Japan)|1.4M
1942|1942 (set 1)|103.3K
1942a|1942 (set 2)|103.3K
1942b|1942 (set 3)|104.4K
1943|1943 - The Battle of Midway (US)|297.9K
1943j|1943 - The Battle of Midway (Japan)|298.1K
1943kai|1943 Kai - Midway Kaisen|305.8K
1943mii|1943 - The Battle of Midway Mark II (US)|306.3K
1944|1944: The Loop Master (USA 000620)|15.1M
1944j|1944: The Loop Master (Japan 000620)|14.7M
19xx|19XX: The War Against Destiny (USA 951207)|8.1M
19xxa|19XX: The War Against Destiny (Asia 951207)|7.5M
19xxh|19XX: The War Against Destiny (Hispanic 951218)|8.1M
19xxj|19XX: The War Against Destiny (Japan 951225)|7.5M
19xxjr1|19XX: The War Against Destiny (Japan 951207)|8.1M
2020bb|2020 Super Baseball (set 1)|3.4M
2020bbh|2020 Super Baseball (set 2)|3.4M
280zzzap|Datsun 280 Zzzap|5.1K
3countb|3 Count Bout / Fire Suplex (NGM-043 ~ NGH-043)|7.8M
3in1semi|3-in-1 (SemiCom)|1.1M
3kokushi|Sankokushi (Japan)|1.1M
3stooges|The Three Stooges In Brides Is Brides|71.6K
3wonders|Three Wonders (World 910520)|2.4M
3wonderu|Three Wonders (US 910520)|2.4M
40love|Forty-Love|93.7K
47pie2|Idol Janshi Su-Chi-Pie 2 (v1.1)|9.8M
47pie2o|Idol Janshi Su-Chi-Pie 2 (v1.0)|9.8M
4dwarrio|4-D Warriors|101.3K
4enraya|4 En Raya|29.4K
4in1|4 Fun in 1|68.5K
4in1boot|4-in-1 bootleg|900.4K
600|600|14.1K
64streej|64th. Street - A Detective Story (Japan)|1.2M
64street|64th. Street - A Detective Story (World)|1.2M
720|720 Degrees (rev 4)|625.3K
720g|720 Degrees (German, rev 2)|625.5K
720gr1|720 Degrees (German, rev 1)|625.5K
720r1|720 Degrees (rev 1)|625.1K
720r2|720 Degrees (rev 2)|625.3K
720r3|720 Degrees (rev 3)|625.3K
7jigen|7jigen no Youseitachi - Mahjong 7 Dimensions (Japan)|1.0M
7toitsu|Chi-Toitsu|930.9K
800fath|800 Fathoms|16.8K
88games|'88 Games|740.7K
8ball|Video Eight Ball|19.1K
8ball1|Video Eight Ball (Rev.1)|17.0K
8ballact|Eight Ball Action (DK conversion)|15.7K
8ballat2|Eight Ball Action (DKJr conversion)|16.6K
8bpm|Eight Ball Action (Pac-Man conversion)|12.0K
99lstwar|'99: The Last War|81.3K
99lstwra|'99: The Last War (alternate)|80.6K
9ballsh2|9-Ball Shootout (set 2)|1.2M
9ballsh3|9-Ball Shootout (set 3)|1.2M
